iter	Passed	Remaining
0	161	160974
1	176	88318
2	189	62833
3	197	49109
4	205	40929
5	213	35315
6	221	31388
7	228	28310
8	236	26051
9	243	24141
10	252	22734
11	260	21406
12	268	20360
13	276	19442
14	283	18633
15	291	17921
16	299	17335
17	307	16756
18	314	16252
19	322	15790
20	329	15381
21	336	14977
22	344	14647
23	352	14347
24	360	14052
25	369	13837
26	376	13568
27	384	13349
28	391	13119
29	400	12935
30	407	12739
31	417	12625
32	424	12446
33	432	12295
34	440	12140
35	448	12004
36	455	11860
37	463	11746
38	471	11608
39	478	11487
40	485	11361
41	493	11253
42	500	11137
43	507	11026
44	515	10940
45	523	10849
46	531	10768
47	538	10678
48	546	10606
49	553	10517
50	563	10486
51	570	10401
52	578	10341
53	585	10262
54	593	10196
55	600	10123
56	608	10073
57	616	10011
58	623	9944
59	631	9886
60	638	9826
61	646	9784
62	653	9720
63	661	9675
64	668	9618
65	676	9574
66	683	9518
67	691	9473
68	698	9426
69	706	9382
70	713	9338
71	722	9307
72	729	9262
73	736	9215
74	744	9179
75	751	9138
76	759	9107
77	767	9072
78	775	9045
79	783	9008
80	791	8979
81	798	8938
82	806	8914
83	813	8875
84	821	8844
85	828	8807
86	836	8780
87	843	8743
88	850	8708
89	858	8681
90	865	8648
91	873	8624
92	881	8597
93	889	8570
94	896	8539
95	904	8513
96	911	8481
97	919	8460
98	926	8431
99	933	8399
100	941	8383
101	949	8362
102	959	8359
103	969	8353
104	977	8333
105	987	8324
106	995	8311
107	1006	8313
108	1014	8292
109	1022	8274
110	1030	8250
111	1038	8231
112	1045	8210
113	1054	8191
114	1061	8166
115	1069	8147
116	1075	8119
117	1083	8097
118	1090	8076
119	1097	8051
120	1105	8028
121	1111	8002
122	1119	7982
123	1126	7960
124	1135	7951
125	1142	7927
126	1150	7910
127	1157	7886
128	1165	7867
129	1172	7844
130	1179	7825
131	1188	7813
132	1195	7791
133	1203	7775
134	1210	7754
135	1218	7738
136	1225	7717
137	1232	7700
138	1240	7681
139	1247	7662
140	1254	7641
141	1261	7623
142	1268	7604
143	1276	7587
144	1285	7579
145	1292	7560
146	1300	7548
147	1308	7530
148	1316	7518
149	1323	7500
150	1331	7485
151	1338	7469
152	1346	7453
153	1353	7435
154	1361	7425
155	1368	7405
156	1375	7386
157	1383	7372
158	1391	7359
